Account Name,Customer Number_x,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude
University of Texas (Medical Branch at Galveston),1469,74-R-0073,Class R - Research Facility,Active,,301 UNIVERSITY BLVD,,"GALVESTON, TX 77555-0158",Galveston,1469,2024,,,524,1846,65,240,99,41,,,29.310307,-94.774521
University Of Arkansas Fayettville,1470,71-R-0116,Class R - Research Facility,Active,,1424 W. Martin Luther King Jr. Blvd  MLKG 102,,"Fayetteville, AR 72701",Washington,1470,2024,,,,,3,,,,,,,
University of Texas-Dallas,1472,74-R-0066,Class R - Research Facility,Active,,P. O. BOX 830688 M/S M P 15,,"RICHARDSON, TX 75083",Dallas,1472,2024,,,,,,,,,,,,
University of Texas- El Paso,1473,74-R-0069,Class R - Research Facility,Active,,500 W UNIVERSITY AVE,"I A C U C OFFICE, ADMIN. 209","EL PASO, TX 79968",El Paso,1473,2024,,,,83,,,,,,,31.7664851,-106.5025344
University of Texas San Antonio,1474,74-R-0070,Class R - Research Facility,Active,,ONE U T S A  CIRCLE,,"SAN ANTONIO, TX 78249",Bexar,1474,2024,,,32,,,,,33,,,,
University of Texas - M.D. Anderson Cancer Center,1476,74-R-0065,Class R - Research Facility,Active,,1515 HOLCOMBE BLVD BOX 1640,,"HOUSTON, TX 77030",Harris,1476,2024,,,,115,16,2849,,23,,,,
University of Texas (Health Science Center at Tyler - Vivarium),1477,74-R-0078,Class R - Research Facility,Active,,11937 U S HWY 271,,"TYLER, TX 75708",Smith,1477,2024,,,,,84,,,,,,,
Texas Heart Institute,1478,74-R-0037,Class R - Research Facility,Active,,P.O. Box 20345,,"Houston, TX 77225",Fort Bend,1478,2024,,,,,12,,7,76,4,,,
Texas Tech University,1480,74-R-0108,Class R - Research Facility,Active,,1008 Canton Ave,,"Lubbock, TX 79409",Lubbock,1480,2024,84,27,,,,,52,56,226,,33.5737618,-101.876344
Texas Tech University H S C,1481,74-R-0050,Class R - Research Facility,Active,,3601 4th Street STOP 9001,Room BC101,"LUBBOCK, TX 79430",Lubbock,1481,2024,,,,,,,,26,,,,
Texas Woman’s University (Office of Research and Sponsored Programs),1482,74-R-0040,Class R - Research Facility,Active,,OFFICE OF RES AND SPONSORED PROGRAMS,PO BOX 425619,"DENTON, TX 76204",Denton,1482,2024,,,,,,,,,,,,
Louisiana State University System,1484,72-R-0003,Class R - Research Facility,Active,,Office of Academic Affairs,156 Thomas Boyd Hall,"Baton Rouge, LA 70803",East Baton Rouge,1484,2024,332,46,16,,53,16,2,72,254,,,
Louisiana Tech UniversityY (Office Of Vice President For Res. & Devel.),1485,72-R-0010,Class R - Research Facility,Active,,P.O. BOX 8577,,"RUSTON, LA 71272",Lincoln,1485,2024,,,,,,,,,,,,
Maple Woods Community College,1488,43-R-0029,Class R - Research Facility,Active,,2601 N E BARRY RD,,"KANSAS CITY, MO 64156",Clay,1488,2024,28,27,,,10,,11,10,27,,,
BAROMEDICAL RESEARCH INSTITUTE,1492,72-R-0019,Class R - Research Facility,Active,,1816 INDUSTRIAL BLVD,,"HARVEY, LA 70058",Jefferson,1492,2024,,,,,,,,,,,29.8787834,-90.0839643
Kansas State University,1494,48-R-0001,Class R - Research Facility,Active,,203 FAIRCHILD HALL,,"MANHATTAN, KS 66506",Riley,1494,2024,88,26,,,,,3,26,45,,,
Texas A & M University-Kingsville,1497,74-R-0094,Class R - Research Facility,Active,,"M S C 201, 700 University Blvd",,"KINGSVILLE, TX 78363",Kleberg,1497,2024,13,23,,,,,166,,42,,,
Texas A&M AgriLife Research,1498,74-R-0233,Class R - Research Facility,Active,,600 John Kimbrough Blvd,Suite 512,"COLLEGE STATION, TX 77843",Brazos,1498,2024,,,,,,,,,,,30.609438,-96.3445164
Texas A & M University (Lab Animal Resources & Research),1499,74-R-0012,Class R - Research Facility,Active,,Animal Welfare Office,1186 TAMU,"COLLEGE STATION, TX 77843",Brazos,1499,2024,94,,85,24,53,,316,479,575,,,
Texas Christian University,1501,74-R-0046,Class R - Research Facility,Active,,TCU Box 297024,,"Fort Worth, TX 76129",Tarrant,1501,2024,,,,,,,,,,,,
University of North Texas Health Science Center,1502,74-R-0081,Class R - Research Facility,Active,,Department of Lab Animal Medicine,3500 CAMP BOWIE BLVD,"FORT WORTH, TX 76107",Tarrant,1502,2024,,,,,117,,,71,,,,
Stillmeadow Inc.,1503,74-R-0049,Class R - Research Facility,Active,,12852 Park One Drive,,"Sugar Land, TX 77478",Fort Bend,1503,2024,40,,504,,426,,,27,,,29.6427618,-95.6087537
Saint Louis University,1507,43-R-0011,Class R - Research Facility,Active,,"1402 South Grand Blvd., Caroline Room 508",Department of Comparative Medicine,"St. Louis, MO 63104",St. Louis city,1507,2024,23,,20,624,32,,,41,,,,
Texas Biomedical Research Institute,1512,74-R-0003,Class R - Research Facility,Active,,P. O. BOX 760549,,"SAN ANTONIO, TX 78245",Bexar,1512,2024,,,56,490,23,2047,,,,,,
Missouri State University,1513,43-R-0052,Class R - Research Facility,Active,,901 S NATIONAL AVE,,"SPRINGFIELD, MO 65897",Greene,1513,2024,,,,,,,,,,,37.2017202,-93.2807714
Texas State University,1514,74-R-0048,Class R - Research Facility,Cancelled,,601 UNIVERSITY DRIVE,J C K  489,"SAN MARCOS, TX 78666",Hays,1514,2024,,,,,,,,,,,29.8910941,-97.9376839
William Marsh Rice University,1515,74-R-0031,Class R - Research Facility,Active,,P. O.  BOX  1892  -  M S 16,,"HOUSTON, TX 77251",Harris,1515,2024,,,,,,,,,,,,
Creighton University,1543,47-R-0002,Class R - Research Facility,Active,,"IACUC Office, Research & Compliance","Criss I, Office 131","Omaha, NE 68178",Douglas,1543,2024,,,,491,35,,,,,,,
Northeast Community College,1544,47-R-0022,Class R - Research Facility,Active,,801 EAST BENJAMIN AVE,,"NORFOLK, NE 68701",Stanton,1544,2024,109,110,2,,6,,20,20,59,,42.0497194,-97.3955199
Father Flanagans Boys Home (Boys Town National Research Hospital),1545,47-R-0009,Class R - Research Facility,Cancelled,,555 NORTH 30TH STREET,,"OMAHA, NE 68131",Douglas,1545,2024,,,,,,,,,,,41.2642881,-95.9555918
Nebraska College of Technical Agriculture,1548,47-R-0017,Class R - Research Facility,Active,,404 EAST 7TH,,"CURTIS, NE 69025",Frontier,1548,2024,10,8,4,6,,,15,9,44,,40.637213,-100.5091475
University Of Nebraska - Lincoln,1552,47-R-0004,Class R - Research Facility,Active,,303 CANFIELD ADMINISTRATION BLDG.,,"LINCOLN, NE 68588",Lancaster,1552,2024,,24,,161,12,,,24,,,,
University of Nebraska- Omaha,1553,47-R-0021,Class R - Research Facility,Active,,6001 Dodge Street,Allwine Hall 527,"Omaha, NE 68182",Douglas,1553,2024,,,,,,74,,,,,41.259549,-96.015052
Omaha VAMC (636/151),1554,47-V-0001,Class V - Veteran's Administration Hospital,Active,,4101 WOOLWORTH AVENUE,,"OMAHA, NE 68105",Douglas,1554,2024,,,,,,,,12,,,41.2436874,-95.9736353
University of North Dakota (CENTER FOR BIOMEDICAL RESEARCH),1557,45-R-0001,Class R - Research Facility,Active,,BOX 9001,,"GRAND FORKS, ND 58202",Grand Forks,1557,2024,,,,,,,,,,,47.7735505,-97.1114883
University Of South Dakota,1560,46-R-0001,Class R - Research Facility,Active,,414  EAST CLARK  STREET,,"VERMILLION, SD 57069",Clay,1560,2024,,,,,,,,,,,42.7913704,-96.9254235
South Dakota State University,1561,46-R-0002,Class R - Research Facility,Active,,MORRILL HALL 200F,BOX 2201,"BROOKINGS, SD 57007",Brookings,1561,2024,7,3,,,2,,54,,54,,,
North Dakota State University,1565,45-R-0002,Class R - Research Facility,Active,,"1735 NDSU RESEARCH PARK DRIVE, RESEARCH 1, PO BOX 6050",,"FARGO, ND 58108-6050",Cass,1565,2024,74,89,,,4,,25,60,55,,,
Diamond Animal Health Inc. (HESKA CORPORATION),1573,42-R-0001,Class R - Research Facility,Active,,2538 S E 43RD STREET,,"DES MOINES, IA 50327",Polk,1573,2024,,7,80,2475,187,,,,,,,
Iowa State University,1575,42-R-0003,Class R - Research Facility,Active,,2420 Lincoln Way Suite 202,,"AMES, IA 50014",Boone,1575,2024,6,,,,,,25,131,114,,,
University Of Iowa (Office of Animal Resources),1576,42-R-0004,Class R - Research Facility,Active,,"Office of Animal Resources, Office of the IACUC",L350 P B D B,"Iowa City, IA 52242",Johnson,1576,2024,,,3,,201,,1,206,,,,
Kirkwood Community College,1582,42-R-0026,Class R - Research Facility,Active,,6301 KIRKWOOD BLVD S W,,"CEDAR RAPIDS, IA 52406",Linn,1582,2024,45,57,4,,3,,,,8,,,
IOWA CITY VAMC (584),1584,42-V-0002,Class V - Veteran's Administration Hospital,Active,,HWY 6 WEST,,"IOWA CITY, IA 52246",Johnson,1584,2024,,,,25,,,,,,,41.66561,-91.5569487
National Veterinary Services Laboratories,1586,42-F-0004,Class F - Federal Research Facility,Active,,BOX 844,,"AMES, IA 50010",Story,1586,2024,,,254,10,,,278,29,34,,,
Missouri Western State University,1591,43-R-0105,Class R - Research Facility,Active,,4525 DOWNS DR,,"SAINT JOSEPH, MO 64507",Buchanan,1591,2024,,,,,,,,,,,39.7592128,-94.7827848
Texas Parks & Wildlife Department (Kerr Wildlife Management Area),1592,74-R-0146,Class R - Research Facility,Active,,2625 F M 1340,,"HUNT, TX 78024",Kerr,1592,2024,,,,,,,,45,,,,
Molecular Toxicology Inc,1638,55-R-0136,Class R - Research Facility,Active,,157 INDUSTRIAL PARK DR,,"BOONE, NC 28607",Watauga,1638,2024,,,,,,,,,,,36.2221825,-81.6454844
Palo Alto College,1645,74-R-0157,Class R - Research Facility,Active,,1400 WEST VILLARET,,"SAN ANTONIO, TX 78224",Bexar,1645,2024,39,37,,,2,,,,,,29.3228307,-98.5450237
Trans Ova Genetics,1653,42-R-0031,Class R - Research Facility,Active,,2938 380 STREET,,"SIOUX CENTER, IA 51250",Sioux,1653,2024,,,,,,,,,45,,,
University Of Richmond,1662,21-R-0256,Class R - Research Facility,Active,,410 WESTHAMPTON WAY,,"RICHMOND, VA 23173",Richmond City,1662,2024,,,,,,,,,,,37.5751921,-77.5406689
"Dumond Conservancy For Primates & Tropical Forests, Inc.",1663,58-R-0121,Class R - Research Facility,Active,,14805 SW 216 ST,,"Miami, FL 33170",Miami-Dade,1663,2024,,,,,,62,,,,,,
Beth Israel Deaconess Medical Center,1664,14-R-0138,Class R - Research Facility,Active,,330 Brookline Avenue,Slosberg-Landay Animal Facility,"Boston, MA 02215",Suffolk,1664,2024,,,105,,,,21,95,,,42.3397971,-71.1048718
Wyoming Game & Fish Department,1666,83-R-0005,Class R - Research Facility,Active,,2362 HIGHWAY 34,,"WHEATLAND, WY 82201",Platte,1666,2024,,,,,,,,,,,,
Wilkes University,1688,23-R-0166,Class R - Research Facility,Active,,84 West South Street,,"WILKES BARRE, PA 18766",Luzerne,1688,2024,,,,,,,,,,,41.2443653,-75.8899735
College Of Southern Idaho,1692,82-R-0008,Class R - Research Facility,Active,,P. O. BOX 1238/315 FALLS AVE.,,"TWIN FALLS, ID 83303",Twin Falls,1692,2024,15,13,,,2,,1,2,26,,,
Seward Association for the Advancement of Marine Science (SAAMS) (Alaska SeaLife Center),1693,96-R-0005,Class R - Research Facility,Active,,PO BOX 1329,,"Seward, AK 99664",Kenai Peninsula,1693,2024,,,,,,,,,,,60.1013952,-149.4404281
Yakima Valley College,1722,91-R-0051,Class R - Research Facility,Active,,P.O. BOX 22520,,"YAKIMA, WA 98907",Yakima,1722,2024,94,79,,,1,,,,,,,
CVB VS APHIS USDA,1726,42-F-0008,Class F - Federal Research Facility,Active,,PO Box 844,,"AMES, IA 50010",Boone,1726,2024,,,195,251,24,,,,,,42.0267567,-93.6170448
OVIS,1738,46-R-0007,Class R - Research Facility,Active,,47825  279TH  STREET,,"CANTON, SD 57013",Lincoln,1738,2024,,,,,,,,,,,43.3443855,-96.5693007
Equitech-Bio Inc.,1752,74-R-0161,Class R - Research Facility,Active,,512 Cotton Gin Lane,,"Kerrville, TX 78028",Kerr,1752,2024,,,,,19,,83,,197,,30.0769814,-99.2008337
Comparative Biosciences Inc,1761,93-R-0398,Class R - Research Facility,Active,,786 LUCERNE DRIVE,,"SUNNYVALE, CA 94085",Santa Clara,1761,2024,,,,,117,,,,,,37.3791323,-122.0133299
Intuitive Surgical,1768,93-R-0401,Class R - Research Facility,Active,,1020 Kifer Road,,"SUNNYVALE, CA 94086",Santa Clara,1768,2024,45,,,,,,,1751,,,37.3751422,-122.0133548
Lehigh Carbon Community College,1773,23-R-0153,Class R - Research Facility,Active,,4525 EDUCATION PARK DRIVE,,"SCHNECKSVILLE, PA 18078",Lehigh,1773,2024,,,,,4,,,,,,40.66508,-75.6116272
Mount Holyoke College,1792,14-R-0114,Class R - Research Facility,Active,,"Science Center, 50 College Street",,"South Hadley, MA 01075",Hampshire,1792,2024,,,,,,,,,,,,
Eastern Florida State College,1796,58-R-0126,Class R - Research Facility,Active,,"1519 Clearlake Rd., Bldg. 21",,"Cocoa, FL 32922",Brevard,1796,2024,,,,,,,,,,,,
Charles River Laboratories Inc,1799,14-R-0144,Class R - Research Facility,Active,,251 Ballardvale Street,,"Wilmington, MA 01887",Middlesex,1799,2024,9216,76,3926,1127,14182,11450,112,1774,,,42.5954551,-71.1579323
Tulsa Community College,1811,73-R-0109,Class R - Research Facility,Active,,909 S. Boston Ave.,,"TULSA, OK 74119",Tulsa,1811,2024,24,6,,,4,,,,13,,36.1478965,-95.9866821
Carleton College,1816,41-R-0060,Class R - Research Facility,Cancelled,,DEPT OF PSYCHOLOGY,ONE NORTH COLLEGE ST,"NORTHFIELD, MN 55057",Rice,1816,2024,,,,,,3,,,,,,
Probetex Inc.,1821,74-R-0167,Class R - Research Facility,Active,,16419 Pemcanyon,,"SAN ANTONIO, TX 78240",Bexar,1821,2024,,,,,,,3,,,,,
AgBio Company,1832,93-R-0412,Class R - Research Facility,Active,,1513 River Oaks Dr,,"Modesto, CA 95356",Stanislaus,1832,2024,,,,,647,,,,,,,
University of Colorado- Denver,1834,84-R-0059,Class R - Research Facility,Active,,"13001 E. 17th Place, MS F489, P. O. Box 6508",,"AURORA, CO 80045",Adams,1834,2024,,,,,117,,58,109,2,,,
University Of Colorado-Boulder,1835,84-R-0060,Class R - Research Facility,Active,,"4845 East Pearl Circle, Suite 2001 563 UCB",,"BOULDER, CO 80309",Boulder,1835,2024,,,,,,,,,,,,
California State University Humboldt Arcata,1836,93-R-0413,Class R - Research Facility,Active,,Dean of College of Natural Resources & Science,Humboldt State University,"ARCATA, CA 95521",Humboldt,1836,2024,,,,,,,,,,,,
California State University Fullerton,1839,93-R-0416,Class R - Research Facility,Active,,Office of Research and Sponsored Projects,"1121 N. State College Blvd., ASC-229","FULLERTON, CA 92831",Orange,1839,2024,,,,,,,,,,,,
California State University- Long Beach,1841,93-R-0418,Class R - Research Facility,Cancelled,,Office of Research & Economic Development,1250 BELLFOWER BLVD.,"LONG BEACH, CA 90840",Los Angeles,1841,2024,,,,,,,,,,,,
California State Polytechnic University - Pomona,1844,93-R-0421,Class R - Research Facility,Active,,3801 WEST TEMPLE AVENUE,,"POMONA, CA 91768",Los Angeles,1844,2024,90,66,,,36,,12,,34,,34.0621465,-117.8111979
California State University Sonoma,1845,93-R-0422,Class R - Research Facility,Cancelled,,1801 EAST COTATI AVENUE,,"ROHNERT PARK, CA 94928",Sonoma,1845,2024,,,,,,,,,,,38.3398265,-122.6734192
California State University San Bernardino,1846,93-R-0566,Class R - Research Facility,Active,,5500 UNIVERSITY PARKWAY,,"SAN BERNARDINO, CA 92407",San Bernardino,1846,2024,,,,,,,,,,,34.1874181,-117.3281092
San Francisco State University,1848,93-R-0426,Class R - Research Facility,Active,,469 ADMINISTRATION BUILDING,,"SAN FRANCISCO, CA 94132",San Francisco,1848,2024,,,,,,,,,,,,
Commonwealth Zoological Corporation (Zoo New England),1973,14-R-0221,Class R - Research Facility,Active,,One Franklin Park Road,,"Boston, MA 02121",Suffolk,1973,2024,,,,,,,,,,,42.3029064,-71.0862056
Marshall Farms Group LTD,2072,21-R-0242,Class R - Research Facility,Active,,5800 Lake Bluff Road,,"North Rose, NY 14516",Wayne,2072,2024,,,,,,,,,,,43.2138581,-76.9049358
West Virginia Division of Natural Resources (WV State Wildlife Center),2280,54-R-0010,Class R - Research Facility,Active,,324 4th Avenue,,"South Charleston, WV 25303",Kanawha,2280,2024,,,,,,,,,,,,
"Lubee Foundation, Inc.",3082,58-R-0131,Class R - Research Facility,Cancelled,,1309 NW 192nd Ave,,"Gainesville, FL 32609",Alachua,3082,2024,,,,,,,,,,,,
Miami-Dade Zoological Park and Gardens (Zoo Miami),3099,58-R-0173,Class R - Research Facility,Active,,12400 SW 152nd Street,,"Miami, FL 33177",Miami-Dade,3099,2024,,,,,,,,,,,25.611426,-80.3981222
Monterey Bay Aquarium,3620,93-R-0476,Class R - Research Facility,Active,,886 Cannery Row,,"Monterey, CA 93940",Monterey,3620,2024,,,,,,,,,,,36.6180888,-121.901672
Gibbon Conservation Center,3653,93-R-0602,Class R - Research Facility,Active,,P. O. Box 800249,,"Santa Clarita, CA 91380",Los Angeles,3653,2024,,,,,,40,,,,,,
The Marine Mammal Center,3768,93-R-0475,Class R - Research Facility,Active,,2000 Bunker Road,,"Sausalito, CA 94965",Marin,3768,2024,,,,,,,,,,,37.8351754,-122.531051
Fort Worth Zoological Park,3880,74-R-0219,Class R - Research Facility,Active,,1989 Colonial Parkway,,"Fort Worth, TX 76110",Tarrant,3880,2024,,,,,,,,,,,32.7204205,-97.3551549
Dave Spear,5404,74-R-0232,Class R - Research Facility,Active,,PO Box 1509,,"FORT WORTH, TX 76101",Tarrant,5404,2024,,,,,,,,3,,,32.753177,-97.3327459
Riverhead Foundation for Marine Research & Preservation,6177,21-R-0212,Class R - Research Facility,Active,,467 E. Main Street,,"Riverhead, NY 11901",Suffolk,6177,2024,,,,,,,,,,,40.918785,-72.656141
Dolphins Plus Bayside Inc,6989,58-R-0176,Class R - Research Facility,Active,,P.O. Box 870,,"Key Largo, FL 33037",Monroe,6989,2024,,,,,,,,,,,,
Nashville Zoo at Grassmere,7457,63-R-0130,Class R - Research Facility,Active,,3777 Nolensville Pike,,"Nashville, TN 37211",Davidson,7457,2024,,,,,,,,,,,36.0189817,-86.7107385
Antibodies Inc.,7854,93-R-0158,Class R - Research Facility,Active,,P. O. Box 1560,,"Davis, CA 95617",Yolo,7854,2024,,,4,,79,,,,13,,,
Fordham University,8207,21-R-0148,Class R - Research Facility,Active,,441 E FORDHAM ROAD,"CUNNISSE HOUSE, RM 219","BRONX, NY 10458",Bronx,8207,2024,,,,,,,,,,,40.8617344,-73.8860317
California State University Sacramento,8237,93-R-0423,Class R - Research Facility,Active,,6000 J STREET,Library 2520,"SACRAMENTO, CA 95819",Sacramento,8237,2024,,,,,,,,,,,38.5678235,-121.4249071
Predators Of The Heart,8612,91-R-0083,Class R - Research Facility,Active,,6128 PARKSIDE DRIVE,,"ANACORTES, WA 98221",Skagit,8612,2024,,,,,,,,,,,48.4966192,-122.6903638
Ohio Northern University,8740,31-R-0040,Class R - Research Facility,Active,,525 SOUTH MAIN STREET,,"ADA, OH 45810",Hardin,8740,2024,,,,,,,,,,,40.7666364,-83.8335534
21st Century Medicine Inc.,8817,93-R-0430,Class R - Research Facility,Active,,14960 HILTON DRIVE,,"FONTANA, CA 92336",San Bernardino,8817,2024,,,,,191,,,43,,,34.1085218,-117.4797021
University Of The Ozarks,8977,71-R-0104,Class R - Research Facility,Active,,415 North College Ave,,"CLARKSVILLE, AR 72830",Johnson,8977,2024,,,,,,,,,,,35.4786388,-93.465589
Allegheny-Singer Research Institute,9012,23-R-0154,Class R - Research Facility,Active,,"9th Floor, 4 Allegheny Center",,"PITTSBURGH, PA 15212",Allegheny,9012,2024,,,,,42,,16,17,,,,
University of California-Berkeley,9191,93-R-0432,Class R - Research Facility,Active,,119 California Hall,,"Berkeley, CA 94720",Alameda,9191,2024,,,111,,,29,,,,,,
University Of California Davis,9192,93-R-0433,Class R - Research Facility,Active,,One Shields Ave,,"Davis, CA 95616",Yolo,9192,2024,44,87,17,63,164,1966,369,137,246,,,
University of California Irvine,9193,93-R-0434,Class R - Research Facility,Active,,324 ALDRICH HALL,,"IRVINE, CA 92697",Orange,9193,2024,,6,88,401,74,,4,132,,,33.6478372,-117.8420102
University of California Los Angeles,9194,93-R-0435,Class R - Research Facility,Active,,U.C.L.A. School of Medicine - DLAM,"10833 Le Conte Ave, Room 16-222 CHS","Los Angeles, CA 90095",Los Angeles,9194,2024,,,48,24,33,23,1,267,,,,
University Of California - Riverside,9195,93-R-0436,Class R - Research Facility,Active,,OFFICE OF RESEARCH INTEGRITY,200 UNIVERSITY OFFICE BUILDING,"RIVERSIDE, CA 92521",Riverside,9195,2024,,2,,,,,,,,,,
University Of California-San Diego,9196,93-R-0437,Class R - Research Facility,Active,,"IACUC OFFICE, MAIL CODE 0071",9500 GILMAN DRIVE,"LA JOLLA, CA 92093",San Diego,9196,2024,,,,311,247,22,,339,3,,,
University Of California-Santa Barbara,9197,93-R-0438,Class R - Research Facility,Active,,OFFICE OF RESEARCH,,"SANTA BARBARA, CA 93106",Santa Barbara,9197,2024,,,,,,,,,,,,
University Of California-Santa Cruz,9198,93-R-0439,Class R - Research Facility,Active,,"Kerr Hall, 1156 High St",Long Marine Lab,"Santa Cruz, CA 95064",Santa Cruz,9198,2024,,,,,,,,,,,,
University Of California San Francisco,9199,93-R-0440,Class R - Research Facility,Active,,U C S F BOX 0547,,"SAN FRANCISCO, CA 94143",San Francisco,9199,2024,,,,116,148,2,45,53,,,,
"Q Test, Ltd",9423,31-R-0114,Class R - Research Facility,Active,,P.O. Box 12381,,"Columbus, OH 43212",Franklin,9423,2024,65,,47,,,,16,29,,,,
"DaVinci Biomedical Research Products, Inc.",9446,14-R-0148,Class R - Research Facility,Active,,PO Box 1125,,"South Lancaster, MA 01561",Worcester,9446,2024,,,,,6,,14,130,,,42.4431451,-71.6852823
Lemur Conservation Foundation,9738,58-R-0128,Class R - Research Facility,Active,,P.O. Box 249,,"Myakka City, FL 34251",Manatee,9738,2024,,,,,,55,,,,,,
Joliet Junior College,9971,33-R-0126,Class R - Research Facility,Active,,1215 HOUBOLT RD,,"JOLIET, IL 60431",Will,9971,2024,110,104,10,,29,,52,23,20,,41.4918399,-88.1674632
Low Country Biosource Inc,10055,56-R-0110,Class R - Research Facility,Active,,6133 Mount Carmel Rd,,"Walterboro, SC 29488",Colleton,10055,2024,,,60,,,,4,,,,32.9307132,-80.6859369
AHED Of Ohio Inc (STAUTZENBERGER COLLEGE),10115,31-R-0113,Class R - Research Facility,Active,,1796 INDIAN WOOD CIRCLE,,"MAUMEE, OH 43537",Lucas,10115,2024,132,104,,,6,,,,31,,41.5833562,-83.6846895
Pharmaron (San Diego) Lab Services LLC,10138,93-R-0444,Class R - Research Facility,Active,,2820 Loker Ave E,,"Carlsbad, CA 92010",San Diego,10138,2024,569,,2,12,1240,,36,480,5,,33.1314253,-117.2517157
Oklahoma State University - Oklahoma City,10214,73-R-0112,Class R - Research Facility,Active,,900 N. Portland Avenue,,"OKLAHOMA CITY, OK 73107",Oklahoma,10214,2024,63,10,,,3,,,,21,,35.4715073,-97.5817119
Arrowhead Pharmaceuticals Inc. (Madison),10701,35-R-0140,Class R - Research Facility,Active,,502 S Rosa Rd,,"Madison, WI 53719",Dane,10701,2024,,,,,,,,,,,43.0590916,-89.4780469
Suny State College Of Optometry,10866,21-R-0196,Class R - Research Facility,Active,,33 WEST 42ND STREET,,"NEW YORK NEW YORK, NY 10036",New York,10866,2024,,,,,,20,,,,,40.7540182,-73.9819396
Hackensack Meridian Health (Center for Discovery and Innovation),11697,22-R-0146,Class R - Research Facility,Active,,"123 Metro Blvd, Building 123 A",,"NUTLEY, NJ 07110",Essex,11697,2024,,,,83,18,,,,,,,
Center For Biologics Evaluation & Research,12776,51-F-0024,Class F - Federal Research Facility,Active,,"FDA WHITE OAK BUILDING 71, ROOM 1004",10903 NEW HAMPSHIRE AVE,"SILVER SPRING, MD 20993",Montgomery,12776,2024,,,146,185,56,147,16,,,,,
Center For Veterinary Medicine,12782,51-F-0026,Class F - Federal Research Facility,Active,,7500 STANDISH PLACE,,"ROCKVILLE, MD 20855",Montgomery,12782,2024,,,,,,,,,1,,,
FDA Human Foods Program,12784,51-F-0029,Class F - Federal Research Facility,Active,,1 Iberville Dr,,"Dauphin Island, AL 36528",,12784,2024,,,,,,,,,,,30.2525698,-88.1071097
WVC,13006,88-R-0003,Class R - Research Facility,Active,,2425 EAST OQUENDO ROAD,,"LAS VEGAS, NV 89120",Clark,13006,2024,776,156,,,,,10,8,151,,36.0824693,-115.118156
Genesis Midwest LLC,13171,35-R-0116,Class R - Research Facility,Active,,N6230 County Road G,,"Neillsville, WI 54456",Clark,13171,2024,,,,,,,,,,,,
Pet Food Solution LLC,13318,43-R-0117,Class R - Research Facility,Active,,562 State Road DD,,"AUXVASSE, MO 65231",Callaway,13318,2024,,,,,,,,,,,,
Noble Life Sciences Inc,13428,51-R-0092,Class R - Research Facility,Active,,1500 Fannie Dorsey Rd,,"Sykesville, MD 21784",Carroll,13428,2024,,,,,116,,21,63,,,,
Grand Valley State University,13477,34-R-0149,Class R - Research Facility,Active,,"049 James H Zumberge Hall, 1 Campus Drive",,"Allendale, MI 49401",Ottawa,13477,2024,,,,,,,,,,,,
"Cell Signaling Technology, Inc.",14167,14-R-0157,Class R - Research Facility,Active,,3 TRASK LANE,,"DANVERS, MA 01923",Essex,14167,2024,,,,,1022,,,,,,42.5701288,-70.9082942
"Fabgennix International, Inc",14297,74-R-0230,Class R - Research Facility,Active,,9191 Kyser Way,"Bldg. 4 , Suite 402","Frisco, TX 75033",Denton,14297,2024,,,,,65,,,,,,33.1548404,-96.8599944
Biomune Company (Ceva),14439,48-R-0107,Class R - Research Facility,Active,,8906 Rosehill Rd,,"Lenexa, KS 66215",Johnson,14439,2024,,,2,,,,,,,,38.9676342,-94.7330611
The Binding Site VT INC,14681,13-R-0011,Class R - Research Facility,Active,,3697 ROUTE 144,,"FAIRHAVEN, VT 05743",Rutland,14681,2024,,,,,,,911,,,,,
Pima Community College- East Campus,15053,86-R-0033,Class R - Research Facility,Active,,8181 EAST IRVINGTON ROAD,,"TUCSON, AZ 85709",Pima,15053,2024,,,,,,,,,,,32.1633554,-110.9588765
Triple J Farms & Kent Labs,15097,91-R-0054,Class R - Research Facility,Active,,777 JORGENSEN PLACE,,"BELLINGHAM, WA 98226",Whatcom,15097,2024,,,,,,,2,,28,,,
Western University of Health Sciences,15322,93-R-0464,Class R - Research Facility,Active,,309 East Second Street,,"Pomona, CA 91766",Los Angeles,15322,2024,,,,20,,,,18,,,34.0580327,-117.7418452
WuXi AppTec Inc. (NAMSA),15690,41-R-0061,Class R - Research Facility,Active,,2540 EXECUTIVE DRIVE,,"SAINT PAUL, MN 55120",Ramsey,15690,2024,,,12747,,1838,,,,,,,
Nova Southeastern University (CENTER FOR COLLABORATIVE RESEARCH CCR),15933,58-R-0165,Class R - Research Facility,Active,,3301 COLLEGE AVE,,"FORT LAUDERDALE, FL 33314",Broward,15933,2024,,,8,,,,,,,,,
Alamogordo Primate Facility,16855,85-F-0003,Class F - Federal Research Facility,Active,,"BOX 956, NEW MEXICO AVENUE",,"HOLLOMAN AFB, NM 88330",Otero,16855,2024,,,,,,,,,,,,
